time,open,high,low,close,volume
2025-05-15 01:00:00,3178.39,3181.17,3177.74,3181.04,288.0
2025-05-15 01:05:00,3181.04,3183.86,3181.04,3181.96,180.0
2025-05-15 01:10:00,3181.95,3182.14,3180.47,3180.65,132.0
2025-05-15 01:15:00,3180.78,3183.01,3180.6,3182.34,141.0
2025-05-15 01:20:00,3182.36,3183.5,3182.02,3183.4,138.0
2025-05-15 01:25:00,3183.37,3184.01,3182.69,3183.5,125.0
2025-05-15 01:30:00,3183.39,3183.61,3181.85,3182.12,175.0
2025-05-15 01:35:00,3182.06,3183.74,3181.63,3182.09,167.0
2025-05-15 01:40:00,3182.08,3182.41,3180.23,3182.31,195.0
2025-05-15 01:45:00,3182.34,3182.89,3181.75,3182.75,143.0
2025-05-15 01:50:00,3182.72,3182.88,3181.82,3181.84,155.0
2025-05-15 01:55:00,3181.83,3182.85,3181.06,3182.72,164.0
2025-05-15 02:00:00,3182.65,3183.05,3181.25,3182.63,126.0
2025-05-15 02:05:00,3182.62,3184.31,3182.5,3184.03,191.0
2025-05-15 02:10:00,3184.03,3185.86,3183.7,3185.06,175.0
2025-05-15 02:15:00,3185.16,3185.26,3182.29,3182.74,198.0
2025-05-15 02:20:00,3182.73,3184.09,3182.73,3183.71,153.0
2025-05-15 02:25:00,3183.71,3184.3,3183.35,3183.96,127.0
2025-05-15 02:30:00,3183.96,3184.11,3182.74,3183.85,171.0
2025-05-15 02:35:00,3184.0,3184.88,3183.92,3184.8,116.0
2025-05-15 02:40:00,3184.75,3186.92,3184.6,3186.92,179.0
2025-05-15 02:45:00,3186.66,3186.89,3185.39,3185.99,223.0
2025-05-15 02:50:00,3185.99,3187.29,3185.79,3186.64,237.0
2025-05-15 02:55:00,3186.61,3186.78,3185.63,3186.05,213.0
2025-05-15 03:00:00,3185.78,3186.16,3181.35,3182.28,318.0
2025-05-15 03:05:00,3182.33,3183.39,3180.97,3182.55,295.0
2025-05-15 03:10:00,3182.55,3184.95,3180.3,3184.68,290.0
2025-05-15 03:15:00,3184.86,3186.17,3183.92,3185.8,257.0
2025-05-15 03:20:00,3185.9,3186.05,3183.43,3183.46,242.0
2025-05-15 03:25:00,3183.45,3183.45,3180.97,3181.22,252.0
2025-05-15 03:30:00,3181.19,3184.11,3180.73,3184.11,330.0
2025-05-15 03:35:00,3184.09,3184.3,3181.23,3181.54,261.0
2025-05-15 03:40:00,3181.61,3182.9,3180.62,3182.55,264.0
2025-05-15 03:45:00,3182.4,3183.75,3182.04,3182.44,206.0
2025-05-15 03:50:00,3182.58,3187.23,3180.79,3186.76,340.0
2025-05-15 03:55:00,3186.81,3187.88,3186.48,3187.81,312.0
2025-05-15 04:00:00,3187.75,3192.65,3187.75,3190.34,405.0
2025-05-15 04:05:00,3190.37,3190.95,3185.14,3186.2,384.0
2025-05-15 04:10:00,3186.23,3187.91,3185.77,3186.48,325.0
2025-05-15 04:15:00,3186.68,3187.01,3184.41,3184.78,345.0
2025-05-15 04:20:00,3184.83,3185.6,3182.27,3184.83,347.0
2025-05-15 04:25:00,3184.83,3189.31,3184.64,3186.49,378.0
2025-05-15 04:30:00,3186.36,3189.28,3184.68,3184.84,365.0
2025-05-15 04:35:00,3184.83,3185.82,3181.58,3185.71,361.0
2025-05-15 04:40:00,3185.72,3186.21,3177.96,3177.96,344.0
2025-05-15 04:45:00,3177.97,3180.01,3174.78,3174.78,373.0
2025-05-15 04:50:00,3174.74,3179.71,3171.91,3175.6,415.0
2025-05-15 04:55:00,3175.59,3177.02,3171.35,3172.37,376.0
2025-05-15 05:00:00,3172.37,3175.23,3170.05,3173.89,393.0
2025-05-15 05:05:00,3173.63,3173.69,3169.66,3172.61,352.0
2025-05-15 05:10:00,3172.6,3175.57,3172.36,3174.63,324.0
2025-05-15 05:15:00,3174.62,3174.92,3171.28,3173.42,282.0
2025-05-15 05:20:00,3173.11,3173.35,3164.76,3165.22,342.0
2025-05-15 05:25:00,3165.16,3167.36,3163.8,3163.93,381.0
2025-05-15 05:30:00,3163.74,3165.85,3159.6,3161.7,405.0
2025-05-15 05:35:00,3161.98,3163.92,3158.03,3158.29,411.0
2025-05-15 05:40:00,3158.3,3159.25,3154.21,3157.73,438.0
2025-05-15 05:45:00,3157.75,3157.75,3150.87,3151.04,419.0
2025-05-15 05:50:00,3151.32,3155.42,3150.17,3155.4,371.0
2025-05-15 05:55:00,3155.46,3156.04,3151.91,3153.85,325.0
2025-05-15 06:00:00,3154.17,3156.67,3152.84,3153.85,349.0
2025-05-15 06:05:00,3153.81,3157.01,3153.41,3154.35,339.0
2025-05-15 06:10:00,3154.35,3154.35,3149.32,3150.05,366.0
2025-05-15 06:15:00,3149.85,3152.61,3148.61,3148.89,376.0
2025-05-15 06:20:00,3148.71,3151.43,3148.38,3149.72,347.0
2025-05-15 06:25:00,3149.99,3154.08,3149.99,3153.65,356.0
2025-05-15 06:30:00,3153.89,3156.29,3153.78,3154.25,302.0
2025-05-15 06:35:00,3154.13,3155.01,3152.88,3152.88,244.0
2025-05-15 06:40:00,3152.94,3153.48,3152.17,3153.31,267.0
2025-05-15 06:45:00,3153.27,3154.71,3152.62,3152.89,276.0
2025-05-15 06:50:00,3153.0,3153.83,3152.18,3152.34,221.0
2025-05-15 06:55:00,3152.32,3152.32,3150.34,3150.54,239.0
2025-05-15 07:00:00,3150.42,3152.53,3150.33,3151.37,280.0
2025-05-15 07:05:00,3151.26,3151.31,3149.1,3149.16,264.0
2025-05-15 07:10:00,3149.13,3149.65,3146.3,3149.65,316.0
2025-05-15 07:15:00,3149.8,3150.29,3147.46,3148.09,255.0
2025-05-15 07:20:00,3148.08,3148.75,3147.22,3147.22,242.0
2025-05-15 07:25:00,3147.22,3150.25,3146.73,3146.9,276.0
2025-05-15 07:30:00,3146.91,3149.1,3144.8,3145.6,347.0
2025-05-15 07:35:00,3145.58,3147.79,3144.7,3146.84,298.0
2025-05-15 07:40:00,3146.88,3147.3,3143.28,3144.39,267.0
2025-05-15 07:45:00,3144.59,3144.68,3139.48,3141.05,354.0
2025-05-15 07:50:00,3141.11,3141.22,3135.63,3136.16,340.0
2025-05-15 07:55:00,3136.21,3139.22,3135.94,3138.61,321.0
2025-05-15 08:00:00,3138.78,3141.58,3137.5,3141.51,315.0
