time,open,high,low,close,volume
2025-05-14 01:00:00,3249.67,3253.39,3249.67,3251.95,237.0
2025-05-14 01:05:00,3251.91,3251.91,3250.72,3250.84,139.0
2025-05-14 01:10:00,3251.09,3251.41,3249.95,3250.29,112.0
2025-05-14 01:15:00,3250.33,3250.44,3250.01,3250.13,75.0
2025-05-14 01:20:00,3250.14,3251.76,3250.01,3251.69,118.0
2025-05-14 01:25:00,3251.68,3251.7,3250.35,3251.24,109.0
2025-05-14 01:30:00,3251.29,3252.32,3249.94,3249.94,146.0
2025-05-14 01:35:00,3249.95,3252.19,3249.47,3252.19,181.0
2025-05-14 01:40:00,3252.42,3253.45,3251.83,3251.83,132.0
2025-05-14 01:45:00,3251.87,3253.01,3251.8,3251.91,145.0
2025-05-14 01:50:00,3251.89,3253.68,3251.52,3253.53,157.0
2025-05-14 01:55:00,3253.53,3254.62,3253.31,3254.55,144.0
2025-05-14 02:00:00,3254.47,3256.2,3254.27,3255.6,186.0
2025-05-14 02:05:00,3255.62,3257.05,3255.57,3256.07,218.0
2025-05-14 02:10:00,3256.02,3256.05,3255.09,3255.35,152.0
2025-05-14 02:15:00,3255.35,3255.35,3253.54,3254.44,149.0
2025-05-14 02:20:00,3254.43,3255.26,3254.14,3254.68,140.0
2025-05-14 02:25:00,3254.58,3255.72,3254.58,3255.2,104.0
2025-05-14 02:30:00,3255.22,3255.65,3254.78,3254.82,115.0
2025-05-14 02:35:00,3254.68,3254.81,3252.12,3252.34,146.0
2025-05-14 02:40:00,3252.33,3255.51,3252.33,3255.51,177.0
2025-05-14 02:45:00,3255.54,3255.92,3254.59,3254.79,239.0
2025-05-14 02:50:00,3254.79,3254.96,3254.24,3254.52,113.0
2025-05-14 02:55:00,3254.51,3254.88,3253.43,3254.38,210.0
2025-05-14 03:00:00,3254.5,3254.64,3247.74,3248.87,353.0
2025-05-14 03:05:00,3248.98,3249.01,3245.48,3245.49,293.0
2025-05-14 03:10:00,3245.45,3245.95,3243.97,3245.26,318.0
2025-05-14 03:15:00,3245.26,3245.89,3243.07,3243.11,276.0
2025-05-14 03:20:00,3243.08,3244.56,3242.87,3243.54,280.0
2025-05-14 03:25:00,3243.48,3247.32,3241.76,3246.94,324.0
2025-05-14 03:30:00,3246.95,3249.72,3246.95,3248.22,310.0
2025-05-14 03:35:00,3248.19,3248.21,3246.18,3246.38,256.0
