time,open,high,low,close,volume
2025-06-16 01:00:00,3434.04,3444.26,3434.04,3441.01,790.0
2025-06-16 01:05:00,3441.01,3444.35,3438.68,3444.07,319.0
2025-06-16 01:10:00,3444.06,3451.22,3444.0,3450.02,381.0
2025-06-16 01:15:00,3449.76,3451.06,3446.72,3450.53,359.0
2025-06-16 01:20:00,3450.66,3450.66,3446.58,3450.25,326.0
2025-06-16 01:25:00,3450.27,3450.41,3446.95,3447.19,268.0
2025-06-16 01:30:00,3447.17,3448.03,3442.68,3443.16,344.0
2025-06-16 01:35:00,3442.99,3446.55,3439.89,3446.06,380.0
2025-06-16 01:40:00,3446.18,3448.72,3444.64,3445.01,321.0
2025-06-16 01:45:00,3445.23,3450.14,3445.16,3448.79,295.0
2025-06-16 01:50:00,3449.2,3449.58,3447.32,3448.58,286.0
2025-06-16 01:55:00,3448.57,3449.63,3448.14,3448.39,220.0
2025-06-16 02:00:00,3448.41,3450.12,3447.05,3449.03,257.0
2025-06-16 02:05:00,3449.01,3449.15,3446.17,3447.04,262.0
2025-06-16 02:10:00,3447.27,3448.66,3446.35,3447.42,254.0
2025-06-16 02:15:00,3447.4,3447.61,3443.19,3444.81,267.0
2025-06-16 02:20:00,3444.8,3449.13,3444.76,3448.1,235.0
2025-06-16 02:25:00,3448.09,3448.54,3446.49,3447.88,205.0
2025-06-16 02:30:00,3447.95,3449.26,3445.65,3446.51,255.0
2025-06-16 02:35:00,3446.52,3448.07,3445.47,3447.65,224.0
2025-06-16 02:40:00,3447.64,3448.08,3445.73,3446.03,250.0
2025-06-16 02:45:00,3445.92,3445.92,3439.57,3443.34,358.0
2025-06-16 02:50:00,3443.28,3445.54,3441.54,3442.4,307.0
2025-06-16 02:55:00,3442.24,3444.11,3440.92,3444.11,322.0
2025-06-16 03:00:00,3444.59,3444.59,3437.26,3439.8,374.0
2025-06-16 03:05:00,3439.83,3445.38,3439.28,3444.28,353.0
2025-06-16 03:10:00,3444.24,3445.78,3444.02,3445.33,298.0
2025-06-16 03:15:00,3445.49,3447.04,3445.1,3446.16,301.0
2025-06-16 03:20:00,3446.18,3450.54,3446.07,3449.59,368.0
2025-06-16 03:25:00,3449.56,3451.23,3448.51,3448.84,363.0
2025-06-16 03:30:00,3448.66,3449.94,3445.24,3445.83,329.0
2025-06-16 03:35:00,3445.89,3447.44,3442.37,3444.82,333.0
2025-06-16 03:40:00,3444.78,3445.01,3440.76,3440.9,304.0
2025-06-16 03:45:00,3440.96,3441.82,3436.34,3436.9,350.0
2025-06-16 03:50:00,3436.99,3437.88,3434.38,3435.55,369.0
2025-06-16 03:55:00,3435.48,3438.19,3434.47,3436.66,351.0
2025-06-16 04:00:00,3436.28,3439.38,3433.24,3438.59,407.0
2025-06-16 04:05:00,3438.5,3439.72,3434.73,3439.15,384.0
2025-06-16 04:10:00,3438.97,3441.49,3437.81,3440.53,360.0
2025-06-16 04:15:00,3440.45,3443.06,3439.15,3440.45,341.0
2025-06-16 04:20:00,3440.33,3441.27,3436.07,3437.88,353.0
2025-06-16 04:25:00,3437.91,3438.14,3434.5,3435.97,351.0
2025-06-16 04:30:00,3435.99,3438.76,3435.43,3437.01,327.0
2025-06-16 04:35:00,3437.01,3438.55,3435.76,3438.27,336.0
2025-06-16 04:40:00,3438.13,3439.19,3435.71,3438.69,303.0
2025-06-16 04:45:00,3438.72,3440.57,3438.3,3440.57,323.0
2025-06-16 04:50:00,3440.66,3441.81,3438.59,3440.72,329.0
2025-06-16 04:55:00,3440.77,3442.2,3439.01,3441.42,311.0
2025-06-16 05:00:00,3441.48,3444.27,3440.49,3443.34,332.0
2025-06-16 05:05:00,3443.18,3446.18,3442.62,3446.16,313.0
2025-06-16 05:10:00,3445.74,3446.32,3444.08,3444.08,313.0
2025-06-16 05:15:00,3444.11,3444.92,3442.93,3444.06,297.0
2025-06-16 05:20:00,3444.05,3446.12,3443.33,3444.64,290.0
2025-06-16 05:25:00,3444.6,3445.42,3442.41,3442.54,281.0
2025-06-16 05:30:00,3442.51,3442.84,3440.44,3441.11,306.0
2025-06-16 05:35:00,3441.08,3442.21,3440.3,3441.96,292.0
2025-06-16 05:40:00,3441.94,3443.98,3441.67,3443.59,303.0
2025-06-16 05:45:00,3443.46,3443.81,3440.15,3440.84,297.0
2025-06-16 05:50:00,3440.88,3441.7,3439.12,3441.03,332.0
2025-06-16 05:55:00,3441.08,3441.77,3437.89,3438.4,300.0
2025-06-16 06:00:00,3438.33,3438.75,3435.59,3438.34,331.0
2025-06-16 06:05:00,3438.33,3439.62,3437.38,3439.38,308.0
2025-06-16 06:10:00,3439.04,3439.12,3437.23,3437.64,310.0
2025-06-16 06:15:00,3437.63,3437.64,3434.16,3435.68,318.0
2025-06-16 06:20:00,3435.69,3436.61,3434.53,3436.46,292.0
2025-06-16 06:25:00,3436.52,3437.63,3435.0,3437.05,313.0
2025-06-16 06:30:00,3436.64,3436.64,3433.09,3433.95,308.0
2025-06-16 06:35:00,3434.14,3435.69,3433.75,3434.09,245.0
2025-06-16 06:40:00,3434.07,3435.36,3432.18,3432.36,262.0
2025-06-16 06:45:00,3432.51,3433.06,3431.2,3431.25,246.0
2025-06-16 06:50:00,3431.35,3432.75,3430.72,3431.09,235.0
2025-06-16 06:55:00,3430.99,3431.78,3429.36,3431.52,283.0
2025-06-16 07:00:00,3431.5,3433.27,3430.76,3431.56,273.0
2025-06-16 07:05:00,3431.5,3431.54,3428.98,3430.23,262.0
2025-06-16 07:10:00,3430.15,3431.69,3429.13,3429.71,248.0
2025-06-16 07:15:00,3429.58,3431.12,3429.3,3430.8,194.0
2025-06-16 07:20:00,3430.79,3432.04,3430.0,3430.2,248.0
2025-06-16 07:25:00,3430.21,3431.1,3430.08,3430.31,198.0
