time,open,high,low,close,volume
2025-11-27 01:00:00,4163.05,4165.89,4162.49,4164.79,380.0
2025-11-27 01:05:00,4164.79,4168.65,4164.71,4168.51,225.0
2025-11-27 01:10:00,4168.11,4168.86,4166.79,4166.91,191.0
2025-11-27 01:15:00,4166.85,4168.34,4166.85,4167.99,161.0
2025-11-27 01:20:00,4167.94,4168.33,4166.89,4167.29,123.0
2025-11-27 01:25:00,4167.26,4167.38,4163.71,4164.41,229.0
2025-11-27 01:30:00,4164.43,4164.65,4162.53,4163.57,249.0
2025-11-27 01:35:00,4163.59,4163.79,4163.05,4163.24,210.0
2025-11-27 01:40:00,4163.25,4165.22,4162.75,4165.11,218.0
2025-11-27 01:45:00,4165.1,4167.65,4165.1,4167.56,247.0
2025-11-27 01:50:00,4167.58,4167.97,4165.12,4166.49,228.0
2025-11-27 01:55:00,4166.5,4167.29,4164.76,4164.96,237.0
2025-11-27 02:00:00,4164.85,4166.08,4163.85,4164.79,334.0
2025-11-27 02:05:00,4164.78,4166.24,4162.49,4166.08,340.0
2025-11-27 02:10:00,4166.15,4167.36,4165.09,4165.13,301.0
2025-11-27 02:15:00,4165.14,4165.84,4163.69,4164.46,180.0
2025-11-27 02:20:00,4164.35,4166.02,4164.05,4165.8,146.0
2025-11-27 02:25:00,4165.8,4167.09,4165.65,4166.32,211.0
2025-11-27 02:30:00,4166.5,4166.98,4165.49,4165.66,216.0
2025-11-27 02:35:00,4165.62,4166.11,4164.51,4165.39,175.0
2025-11-27 02:40:00,4165.34,4166.33,4164.86,4165.68,222.0
2025-11-27 02:45:00,4165.78,4165.78,4162.04,4163.28,261.0
2025-11-27 02:50:00,4163.34,4163.94,4162.63,4163.54,228.0
2025-11-27 02:55:00,4163.58,4165.1,4162.74,4164.63,248.0
2025-11-27 03:00:00,4164.57,4165.19,4162.12,4162.45,421.0
2025-11-27 03:05:00,4162.35,4162.35,4158.07,4158.1,438.0
2025-11-27 03:10:00,4158.02,4160.75,4156.94,4157.66,425.0
2025-11-27 03:15:00,4157.58,4159.05,4150.8,4151.1,456.0
2025-11-27 03:20:00,4151.02,4153.09,4148.94,4150.52,465.0
2025-11-27 03:25:00,4150.99,4154.0,4149.22,4153.69,451.0
2025-11-27 03:30:00,4153.71,4156.12,4152.05,4154.91,405.0
2025-11-27 03:35:00,4154.86,4156.48,4151.57,4153.38,414.0
2025-11-27 03:40:00,4153.34,4154.56,4152.34,4152.38,389.0
2025-11-27 03:45:00,4152.35,4153.34,4149.84,4151.16,397.0
2025-11-27 03:50:00,4151.09,4152.13,4148.74,4149.76,398.0
