time,open,high,low,close,volume
2026-03-12 00:00:00,5178.97,5183.57,5175.41,5178.01,599.0
2026-03-12 00:05:00,5178.02,5178.02,5169.04,5173.28,355.0
2026-03-12 00:10:00,5173.3,5176.13,5172.14,5175.2,316.0
2026-03-12 00:15:00,5175.15,5175.98,5174.16,5175.04,221.0
2026-03-12 00:20:00,5174.84,5177.23,5172.91,5172.91,279.0
2026-03-12 00:25:00,5172.66,5174.75,5165.53,5169.97,543.0
2026-03-12 00:30:00,5169.98,5170.23,5165.25,5165.35,518.0
2026-03-12 00:35:00,5165.37,5166.45,5158.39,5160.5,630.0
2026-03-12 00:40:00,5160.51,5162.82,5153.14,5158.85,592.0
2026-03-12 00:45:00,5158.66,5168.3,5158.66,5167.99,609.0
2026-03-12 00:50:00,5168.09,5168.58,5155.54,5156.22,605.0
2026-03-12 00:55:00,5156.25,5158.68,5129.99,5139.02,735.0
2026-03-12 01:00:00,5139.04,5149.11,5135.02,5147.47,1643.0
2026-03-12 01:05:00,5147.47,5151.32,5146.18,5147.82,1240.0
2026-03-12 01:10:00,5147.83,5153.96,5147.26,5152.0,1523.0
2026-03-12 01:15:00,5152.0,5155.39,5150.18,5153.51,973.0
2026-03-12 01:20:00,5153.51,5155.3,5151.05,5152.98,981.0
2026-03-12 01:25:00,5152.98,5156.96,5152.75,5155.96,779.0
2026-03-12 01:30:00,5155.89,5157.95,5150.31,5150.31,1392.0
2026-03-12 01:35:00,5150.31,5153.05,5145.97,5149.99,1925.0
2026-03-12 01:40:00,5149.99,5153.05,5146.47,5146.95,707.0
2026-03-12 01:45:00,5146.95,5147.31,5138.11,5143.17,1495.0
2026-03-12 01:50:00,5143.17,5143.7,5139.1,5141.74,717.0
2026-03-12 01:55:00,5141.74,5145.15,5132.98,5134.24,1142.0
2026-03-12 02:00:00,5134.24,5135.79,5125.77,5131.1,2380.0
2026-03-12 02:05:00,5131.1,5138.55,5125.61,5137.58,2222.0
2026-03-12 02:10:00,5137.58,5142.11,5135.77,5138.84,2123.0
2026-03-12 02:15:00,5138.84,5144.21,5138.84,5141.74,1621.0
2026-03-12 02:20:00,5141.74,5149.13,5140.85,5148.93,1549.0
2026-03-12 02:25:00,5148.93,5158.01,5148.93,5152.65,2264.0
2026-03-12 02:30:00,5152.65,5155.47,5151.31,5152.99,1311.0
2026-03-12 02:35:00,5152.99,5161.58,5152.12,5157.77,1396.0
2026-03-12 02:40:00,5157.77,5158.84,5154.13,5154.29,1064.0
2026-03-12 02:45:00,5154.32,5155.14,5150.14,5153.39,1256.0
2026-03-12 02:50:00,5153.39,5156.02,5152.69,5155.01,1282.0
2026-03-12 02:55:00,5155.02,5155.02,5151.8,5152.92,1044.0
2026-03-12 03:00:00,5152.93,5166.85,5152.01,5158.84,2810.0
2026-03-12 03:05:00,5158.84,5159.44,5152.28,5156.43,2389.0
2026-03-12 03:10:00,5156.43,5159.34,5153.87,5157.18,1937.0
2026-03-12 03:15:00,5157.18,5159.64,5151.51,5159.16,1998.0
2026-03-12 03:20:00,5159.16,5161.18,5155.3,5159.82,1562.0
2026-03-12 03:25:00,5159.81,5160.84,5154.71,5157.58,1577.0
2026-03-12 03:30:00,5157.58,5159.22,5154.73,5158.37,1812.0
2026-03-12 03:35:00,5158.36,5164.63,5156.35,5163.02,1629.0
2026-03-12 03:40:00,5163.02,5170.46,5161.45,5169.9,1446.0
2026-03-12 03:45:00,5169.93,5172.98,5167.74,5171.86,1643.0
2026-03-12 03:50:00,5171.86,5171.94,5167.02,5167.42,1520.0
2026-03-12 03:55:00,5167.42,5168.83,5164.35,5168.58,1621.0
2026-03-12 04:00:00,5168.58,5172.97,5167.38,5171.84,1332.0
2026-03-12 04:05:00,5171.84,5174.0,5169.18,5173.66,1225.0
2026-03-12 04:10:00,5173.67,5174.66,5171.3,5174.19,1316.0
2026-03-12 04:15:00,5174.19,5174.54,5170.73,5174.09,1251.0
2026-03-12 04:20:00,5174.09,5175.17,5168.66,5169.47,1232.0
2026-03-12 04:25:00,5169.47,5172.11,5167.3,5168.17,1044.0
2026-03-12 04:30:00,5168.17,5171.57,5164.18,5165.52,1469.0
