time,open,high,low,close,volume
2026-01-07 01:00:00,4494.64,4498.79,4494.64,4498.33,383.0
2026-01-07 01:05:00,4498.41,4499.32,4498.11,4498.37,590.0
2026-01-07 01:10:00,4498.37,4498.63,4494.64,4497.44,1529.0
2026-01-07 01:15:00,4497.44,4499.12,4496.96,4498.64,1058.0
2026-01-07 01:20:00,4498.65,4499.98,4498.31,4499.78,1131.0
2026-01-07 01:25:00,4499.78,4500.42,4498.31,4498.44,808.0
2026-01-07 01:30:00,4498.44,4499.56,4497.85,4498.85,735.0
2026-01-07 01:35:00,4498.85,4499.4,4496.16,4496.4,755.0
2026-01-07 01:40:00,4496.41,4496.48,4494.96,4495.33,1168.0
2026-01-07 01:45:00,4495.33,4495.88,4493.14,4493.59,963.0
2026-01-07 01:50:00,4493.59,4496.28,4492.13,4496.0,1119.0
2026-01-07 01:55:00,4496.0,4496.29,4492.46,4493.36,1104.0
2026-01-07 02:00:00,4493.36,4494.08,4490.36,4493.05,1300.0
2026-01-07 02:05:00,4493.03,4493.08,4491.02,4492.17,728.0
2026-01-07 02:10:00,4492.17,4494.45,4492.13,4493.2,887.0
2026-01-07 02:15:00,4493.24,4493.57,4489.67,4490.51,877.0
2026-01-07 02:20:00,4490.51,4493.03,4490.28,4491.28,694.0
2026-01-07 02:25:00,4491.28,4491.82,4490.23,4491.09,779.0
2026-01-07 02:30:00,4491.09,4493.69,4490.22,4493.65,1294.0
2026-01-07 02:35:00,4493.66,4494.71,4488.09,4489.72,1712.0
2026-01-07 02:40:00,4489.72,4492.25,4488.73,4489.82,1700.0
2026-01-07 02:45:00,4489.82,4491.55,4487.8,4489.97,1468.0
2026-01-07 02:50:00,4489.97,4490.15,4482.47,4485.57,1359.0
2026-01-07 02:55:00,4485.57,4492.25,4485.21,4491.95,1707.0
2026-01-07 03:00:00,4491.94,4495.81,4480.44,4483.23,3482.0
2026-01-07 03:05:00,4483.22,4483.56,4472.08,4475.97,3388.0
2026-01-07 03:10:00,4475.97,4478.71,4469.27,4471.05,3430.0
2026-01-07 03:15:00,4471.07,4476.84,4470.92,4472.76,2881.0
2026-01-07 03:20:00,4472.76,4477.91,4471.19,4476.16,2983.0
2026-01-07 03:25:00,4476.16,4479.01,4473.57,4477.21,2755.0
2026-01-07 03:30:00,4477.21,4477.86,4466.45,4466.84,2974.0
