time,open,high,low,close,volume
2024-12-23 01:00:00,2620.78,2626.27,2619.85,2622.55,426.0
2024-12-23 01:05:00,2622.82,2623.19,2621.72,2622.32,139.0
2024-12-23 01:10:00,2622.57,2622.79,2621.43,2622.31,119.0
2024-12-23 01:15:00,2621.74,2624.02,2621.74,2623.12,163.0
2024-12-23 01:20:00,2623.1,2623.35,2622.35,2623.24,99.0
2024-12-23 01:25:00,2623.24,2623.45,2621.85,2622.57,105.0
2024-12-23 01:30:00,2622.35,2623.82,2621.72,2623.64,150.0
2024-12-23 01:35:00,2623.63,2623.82,2622.78,2623.38,155.0
2024-12-23 01:40:00,2623.38,2624.18,2623.19,2623.49,106.0
2024-12-23 01:45:00,2623.58,2624.69,2623.14,2624.15,194.0
2024-12-23 01:50:00,2624.16,2624.62,2623.08,2624.61,159.0
2024-12-23 01:55:00,2624.53,2624.87,2623.59,2624.3,126.0
2024-12-23 02:00:00,2624.36,2625.01,2623.69,2624.65,186.0
2024-12-23 02:05:00,2624.65,2625.16,2624.3,2624.73,136.0
2024-12-23 02:10:00,2624.74,2625.16,2624.03,2624.58,147.0
2024-12-23 02:15:00,2624.49,2624.63,2623.33,2623.82,219.0
2024-12-23 02:20:00,2624.07,2624.13,2622.03,2622.25,143.0
2024-12-23 02:25:00,2622.12,2622.8,2621.98,2622.66,167.0
2024-12-23 02:30:00,2622.67,2623.1,2620.27,2620.42,229.0
2024-12-23 02:35:00,2620.42,2620.77,2618.29,2618.43,243.0
2024-12-23 02:40:00,2618.43,2620.64,2617.6,2620.38,235.0
2024-12-23 02:45:00,2620.33,2622.92,2620.15,2622.37,227.0
2024-12-23 02:50:00,2622.37,2622.62,2620.86,2621.11,299.0
2024-12-23 02:55:00,2621.13,2622.3,2620.95,2621.57,242.0
2024-12-23 03:00:00,2621.65,2624.17,2620.55,2620.55,482.0
2024-12-23 03:05:00,2620.54,2620.58,2618.87,2618.96,444.0
2024-12-23 03:10:00,2618.8,2620.34,2618.4,2619.15,388.0
2024-12-23 03:15:00,2619.24,2621.09,2619.15,2620.11,350.0
2024-12-23 03:20:00,2620.12,2621.11,2619.64,2619.98,286.0
2024-12-23 03:25:00,2619.93,2620.45,2618.75,2619.65,358.0
2024-12-23 03:30:00,2619.79,2620.48,2619.15,2619.87,333.0
2024-12-23 03:35:00,2619.87,2620.74,2619.07,2620.46,292.0
2024-12-23 03:40:00,2620.47,2621.48,2620.01,2620.7,283.0
2024-12-23 03:45:00,2620.75,2622.61,2620.69,2622.12,357.0
2024-12-23 03:50:00,2621.98,2622.49,2621.28,2621.59,350.0
2024-12-23 03:55:00,2621.56,2623.57,2620.8,2620.85,401.0
2024-12-23 04:00:00,2620.79,2621.89,2620.45,2621.59,303.0
2024-12-23 04:05:00,2621.58,2623.99,2621.23,2623.7,296.0
2024-12-23 04:10:00,2623.53,2626.3,2622.53,2625.54,347.0
2024-12-23 04:15:00,2625.52,2625.91,2623.85,2624.53,274.0
2024-12-23 04:20:00,2624.47,2624.47,2622.88,2623.78,192.0
2024-12-23 04:25:00,2623.79,2624.62,2623.5,2624.3,204.0
2024-12-23 04:30:00,2624.06,2625.99,2623.68,2625.47,310.0
2024-12-23 04:35:00,2625.66,2625.84,2624.43,2625.06,336.0
2024-12-23 04:40:00,2624.96,2625.96,2624.72,2625.95,279.0
2024-12-23 04:45:00,2625.9,2627.16,2625.72,2626.48,323.0
2024-12-23 04:50:00,2626.49,2627.35,2626.48,2626.93,296.0
2024-12-23 04:55:00,2626.92,2627.4,2625.92,2625.92,294.0
2024-12-23 05:00:00,2625.92,2626.59,2624.58,2625.02,371.0
2024-12-23 05:05:00,2624.93,2625.4,2624.46,2625.21,230.0
2024-12-23 05:10:00,2625.26,2626.9,2625.18,2626.63,257.0
2024-12-23 05:15:00,2626.64,2626.84,2623.74,2623.84,286.0
2024-12-23 05:20:00,2623.85,2624.7,2623.74,2624.25,296.0
2024-12-23 05:25:00,2624.19,2624.35,2623.44,2624.24,297.0
2024-12-23 05:30:00,2624.14,2624.15,2622.31,2622.81,308.0
2024-12-23 05:35:00,2622.76,2625.1,2622.48,2625.1,303.0
2024-12-23 05:40:00,2625.06,2625.69,2624.82,2624.91,170.0
2024-12-23 05:45:00,2624.9,2625.07,2624.2,2624.64,143.0
2024-12-23 05:50:00,2624.64,2624.94,2623.62,2623.77,151.0
2024-12-23 05:55:00,2623.77,2624.37,2623.27,2624.09,158.0
2024-12-23 06:00:00,2624.1,2625.15,2623.87,2624.42,202.0
2024-12-23 06:05:00,2624.42,2624.99,2624.09,2624.92,199.0
2024-12-23 06:10:00,2624.93,2625.36,2624.66,2625.03,186.0
2024-12-23 06:15:00,2625.03,2626.04,2624.83,2625.86,169.0
2024-12-23 06:20:00,2625.88,2626.27,2625.61,2625.66,203.0
2024-12-23 06:25:00,2625.64,2625.87,2624.99,2625.09,181.0
2024-12-23 06:30:00,2625.1,2626.12,2625.1,2625.38,142.0
